price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip,log_price,house_age,since_renovation
831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,1982,2011,Seattle,WA 98112,13.630385073837585,32,3
780000.0,4.0,2.5,2730,10281,2.0,0,2,3,2730,0,1996,0,Sammamish,WA 98074,13.567049198665774,18,18
755000.0,4.0,2.5,2120,10202,1.0,0,0,4,1620,500,1960,2001,Bellevue,WA 98005,13.534473028231162,54,13
705380.0,3.0,2.5,2490,4343,2.0,0,0,3,2490,0,2003,0,Issaquah,WA 98029,13.466491943674459,11,11
627000.0,4.0,2.25,1990,7712,1.0,0,0,3,1210,780,1973,2013,Issaquah,WA 98027,13.348701819615057,41,1
865000.0,4.0,3.0,3690,9892,2.0,0,0,3,3690,0,1998,2006,Sammamish,WA 98075,13.670484785914017,16,8
580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,1942,0,Seattle,WA 98118,13.270783382522602,72,72
485000.0,4.0,3.0,2340,7048,1.0,0,0,4,1340,1000,1979,0,Kirkland,WA 98034,13.091904169919621,35,35
400000.0,2.0,1.75,2110,9519,1.0,0,0,2,2110,0,1948,0,Shoreline,WA 98155,12.89921982609012,66,66
549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,1908,0,Seattle,WA 98112,13.215853720491667,106,106
620000.0,3.0,1.75,1480,2185,2.5,0,0,3,1480,0,2005,0,Kirkland,WA 98033,13.337474757021274,9,9
405000.0,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,2006,0,Seattle,WA 98136,12.911642346088676,8,8
232000.0,2.0,1.0,1200,8063,1.0,0,0,4,1200,0,1958,1972,Des Moines,WA 98198,12.354492650648448,56,42
800866.0,5.0,2.5,3180,13806,2.0,0,0,4,3180,0,1990,0,Kirkland,WA 98033,13.593448921169424,24,24
650000.0,3.0,1.5,2160,9000,1.0,0,2,4,1400,760,1949,1985,Seattle,WA 98177,13.38472764187182,65,29
823000.0,6.0,1.75,2920,5000,2.5,0,0,4,2780,140,1908,0,Seattle,WA 98122,13.620711479659207,106,106
770000.0,3.0,2.0,2350,5700,1.5,0,0,4,1810,540,1939,1989,Seattle,WA 98112,13.554145793829866,75,25
524000.0,3.0,1.75,1560,5520,1.0,0,0,4,780,780,1944,0,Seattle,WA 98199,13.169246963303179,70,70
541125.0,5.0,2.75,2740,8426,1.0,0,0,4,1370,1370,1960,2001,Bellevue,WA 98006,13.20140558474428,54,13
670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,1909,1998,Seattle,WA 98105,13.415032991367148,105,16
384900.0,5.0,2.5,3090,12750,1.0,0,0,3,1750,1340,1968,1997,Federal Way,WA 98023,12.860738839271837,46,17
406100.0,3.0,2.25,1410,1332,3.0,0,0,3,1410,0,2005,0,Seattle,WA 98103,12.914354713674388,9,9
1395000.0,5.0,3.5,4010,8510,2.0,0,1,5,2850,1160,1971,0,Seattle,WA 98105,14.148404973237604,43,43
570000.0,3.0,2.25,2010,6000,1.0,0,0,3,1330,680,1975,0,Redmond,WA 98052,13.253391639810733,39,39
787000.0,3.0,1.75,1330,7500,1.0,0,0,3,1330,0,1961,2004,Bellevue,WA 98004,13.57598352739954,53,10
328000.0,4.0,2.5,2370,6500,2.0,0,0,3,2370,0,1998,2006,Auburn,WA 98092,12.70076888736628,16,8
435000.0,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,1942,1958,Seattle,WA 98133,12.983101310070822,72,56
499000.0,4.0,2.5,2910,6479,2.0,0,0,3,2910,0,2006,0,Snoqualmie,WA 98065,13.120361374733656,8,8
501000.0,4.0,1.0,2070,7519,1.0,0,0,3,1160,910,1963,2008,Bellevue,WA 98008,13.124361380067002,51,6
400000.0,2.0,1.0,840,5510,1.0,0,0,3,840,0,1955,2005,Seattle,WA 98136,12.89921982609012,59,9
220000.0,4.0,1.5,1240,9600,1.0,0,0,3,1240,0,1971,0,Federal Way,WA 98023,12.301382825334498,43,43
657100.0,4.0,1.0,1390,4240,1.0,0,0,3,1050,340,1924,2011,Seattle,WA 98103,13.39559149288596,90,3
309950.0,4.0,2.75,2310,5000,2.0,0,0,3,2310,0,2006,0,Maple Valley,WA 98038,12.644166273130065,8,8
300000.0,3.0,2.0,1050,10072,1.0,0,0,3,1050,0,1986,0,Duvall,WA 98019,12.611537753638338,28,28
740000.0,4.0,1.75,2010,3600,1.5,0,0,3,2010,0,1902,0,Seattle,WA 98119,13.514405465180353,112,112
340000.0,5.0,1.0,1120,9022,1.5,0,0,4,1120,0,1962,0,Kirkland,WA 98034,12.736700896592344,52,52
398750.0,3.0,2.5,2230,4000,2.0,0,0,3,2230,0,1954,2005,Seattle,WA 98144,12.896089933081191,60,9
206000.0,2.0,1.0,810,7158,1.0,0,0,5,810,0,1944,0,Burien,WA 98168,12.235631447771718,70,70
1030000.0,5.0,2.75,3190,16920,1.0,0,3,3,1690,1500,1976,0,Bellevue,WA 98006,13.845069360205818,38,38
379950.0,4.0,1.75,1970,9389,1.0,0,0,5,1140,830,1960,0,Shoreline,WA 98133,12.84779494409793,54,54
287000.0,3.0,1.0,1450,6000,1.0,0,0,4,1450,0,1953,1983,Seattle,WA 98118,12.567237494741757,61,31
309950.0,3.0,2.5,1880,7838,2.0,0,0,3,1880,0,1994,0,Renton,WA 98055,12.644166273130065,20,20
600000.0,3.0,1.75,1880,6360,1.0,0,0,4,1040,840,1945,0,Seattle,WA 98115,13.304684934198283,69,69
418000.0,3.0,2.0,1410,6030,1.5,0,0,4,1410,0,1930,0,Seattle,WA 98103,12.943236711506893,84,84
449250.0,4.0,2.0,1480,3844,1.5,0,0,5,1480,0,1928,1970,Seattle,WA 98133,13.015334804645805,86,44
329950.0,2.0,1.0,1140,5250,1.5,0,0,4,1140,0,1949,1985,Seattle,WA 98133,12.706696406811568,65,29
245000.0,3.0,1.75,1920,9306,1.0,0,0,3,1000,920,1984,0,Auburn,WA 98001,12.409013489526863,30,30
549000.0,4.0,2.5,2910,6338,2.0,0,0,3,2910,0,2008,0,Renton,WA 98059,13.215853720491667,6,6
800000.0,3.0,2.5,3240,7857,2.0,0,0,3,3240,0,1994,0,Sammamish,WA 98075,13.592367006650065,20,20
249950.0,3.0,2.0,1550,15040,1.0,0,0,4,1550,0,1958,1972,Renton,WA 98059,12.429016176841717,56,42
210000.0,5.0,2.0,2050,10200,1.0,0,0,3,1430,620,1956,2001,Des Moines,WA 98198,12.254862809699606,58,13
1425000.0,2.0,2.5,2220,4000,2.0,0,0,3,2220,0,2000,0,Seattle,WA 98112,14.169682371684887,14,14
585000.0,2.0,1.0,1770,8640,1.5,0,0,3,1520,250,1949,1998,Seattle,WA 98117,13.279367126213993,65,16
615000.0,4.0,1.75,2300,11700,1.0,0,0,4,1960,340,1977,0,Redmond,WA 98052,13.329377546788654,37,37
618500.0,3.0,2.0,1800,5000,1.0,0,0,4,1080,720,1942,1982,Seattle,WA 98115,13.335052470814679,72,32
487585.0,4.0,1.75,2010,9211,1.0,0,0,3,1470,540,1977,2004,Kirkland,WA 98034,13.097219913195639,37,10
509900.0,3.0,2.5,1790,2700,2.0,0,0,3,1790,0,2010,0,Issaquah,WA 98027,13.141969907043247,4,4
631625.0,4.0,2.5,2440,6651,2.0,0,0,3,2440,0,2014,0,Seattle,WA 98117,13.35605114259421,0,0
555000.0,3.0,2.5,1940,3211,2.0,0,0,3,1940,0,2009,0,Issaquah,WA 98027,13.226723392728571,5,5
340000.0,2.0,1.5,1160,1438,2.0,0,0,3,1160,0,2001,0,Seattle,WA 98144,12.736700896592344,13,13
830000.0,4.0,2.5,3400,9692,2.0,0,0,3,3400,0,2007,0,Redmond,WA 98052,13.62918097977278,7,7
366750.0,3.0,3.0,1571,2017,3.0,0,0,3,1571,0,2008,0,Seattle,WA 98125,12.812435696005227,6,6
415000.0,3.0,2.25,1620,998,2.5,0,0,3,1540,80,2010,0,Issaquah,WA 98029,12.936033799212835,4,4
416286.0,3.0,2.5,1408,989,3.0,0,0,3,1408,0,2005,0,Seattle,WA 98115,12.939127803023537,9,9
478000.0,3.0,2.5,3040,4535,2.0,0,0,3,3040,0,2007,0,Renton,WA 98056,13.077366011473593,7,7
419190.0,2.0,2.5,1590,1426,2.0,0,0,3,1590,0,2014,0,Issaquah,WA 98029,12.946079556742603,0,0
712198.0,4.0,2.5,2450,4247,2.0,0,0,3,2450,0,2013,1923,Redmond,WA 98052,13.476111241621927,1,91
397000.0,4.0,2.0,1440,7680,1.0,0,0,3,1200,240,1971,0,Kirkland,WA 98034,12.891691559669328,43,43
450000.0,2.0,2.0,1100,3000,1.5,0,0,3,1100,0,1912,2005,Seattle,WA 98117,13.017002861746503,102,9
353000.0,3.0,1.0,1350,7740,1.0,0,0,4,860,490,1947,1988,Seattle,WA 98125,12.774223335915433,67,26
234000.0,3.0,1.75,1490,8366,1.0,0,0,4,1010,480,1975,0,Covington,WA 98042,12.363076394339839,39,39
561000.0,3.0,2.0,2000,7000,2.0,0,0,3,2000,0,1916,1986,Seattle,WA 98136,13.237476184504834,98,28
469000.0,2.0,1.0,1030,4400,1.0,0,0,3,1030,0,1924,2011,Seattle,WA 98117,13.058358047428417,90,3
329350.0,2.0,1.0,720,6687,1.0,0,0,3,720,0,1942,1999,Seattle,WA 98117,12.70487629406884,72,15
488000.0,5.0,2.0,2020,5000,1.5,0,0,4,2020,0,1938,0,Seattle,WA 98117,13.098070684835283,76,76
279900.0,3.0,1.75,1580,8151,1.0,0,1,4,1100,480,1962,0,Des Moines,WA 98198,12.542187675503545,52,52
606000.0,4.0,2.5,2110,13850,2.0,0,0,3,2110,0,1987,2000,Issaquah,WA 98027,13.314635265051452,27,14
312000.0,4.0,2.0,1300,7054,1.0,0,0,3,1300,0,1950,2013,Seattle,WA 98146,12.65075846679162,64,1
650000.0,3.0,1.5,1630,7475,1.0,0,1,3,1160,470,1940,1996,Seattle,WA 98115,13.38472764187182,74,18
1135000.0,4.0,2.75,3370,8103,1.0,0,3,3,1970,1400,1970,2014,Seattle,WA 98136,13.94214320889764,44,0
325000.0,4.0,2.5,1890,6156,1.0,0,0,3,980,910,1980,0,Seattle,WA 98106,12.691580461311874,34,34
425000.0,4.0,2.0,1520,7983,1.0,0,0,5,1520,0,1967,0,Inglewood-Finn Hill,WA 98034,12.959844447906553,47,47
219000.0,2.0,1.0,900,5160,1.0,0,0,3,900,0,1952,2008,Seattle,WA 98106,12.296827008798639,62,6
250000.0,3.0,1.0,1050,6874,1.0,0,0,3,1050,0,1954,2005,Shoreline,WA 98133,12.429216196844383,60,9
390000.0,3.0,1.75,1260,6500,1.0,0,0,4,1260,0,1966,0,Bellevue,WA 98008,12.873902018105829,48,48
736000.0,4.0,2.5,2290,12047,2.0,0,0,4,2290,0,1988,0,Bellevue,WA 98006,13.508985397711013,26,26
272000.0,3.0,2.5,1650,13816,2.0,0,0,3,1650,0,1998,2006,Carnation,WA 98014,12.513557345278134,16,8
362000.0,3.0,2.25,1640,14374,1.0,0,0,4,1140,500,1963,0,Burien,WA 98148,12.799399490807907,51,51
535000.0,3.0,2.5,1850,10109,2.0,0,0,3,1850,0,1991,0,Kirkland,WA 98034,13.190022025878143,23,23
284000.0,4.0,2.5,2000,5390,2.0,0,0,3,2000,0,2003,0,Kent,WA 98042,12.556729517143344,11,11
367500.0,3.0,1.5,1410,9647,1.0,0,0,3,1410,0,1961,2004,Shoreline,WA 98177,12.814478597635029,53,10
379900.0,4.0,1.75,1500,11600,1.0,0,0,4,1000,500,1955,2009,Kenmore,WA 98028,12.847663339175718,59,5
175000.0,3.0,1.0,1010,7034,1.0,0,0,3,1010,0,1954,2005,Renton,WA 98057,12.072541252905651,60,9
460000.0,2.0,2.25,1230,929,2.0,0,0,3,1020,210,2004,2003,Seattle,WA 98112,13.038981768465277,10,11
345000.0,4.0,2.5,2331,3826,2.0,0,0,3,2331,0,2007,0,Renton,WA 98058,12.751299696013497,7,7
455000.0,5.0,2.5,2240,7770,1.0,0,0,3,1340,900,1978,0,Kirkland,WA 98034,13.028052697933088,36,36
610000.0,4.0,3.0,2450,10117,1.0,0,0,5,1580,870,1967,0,Bellevue,WA 98006,13.321214236149494,47,47
563000.0,4.0,3.0,3100,15480,2.0,0,0,3,2400,700,1996,0,Kenmore,WA 98028,13.241034907121827,18,18
612500.0,4.0,2.0,2060,5000,1.0,0,0,3,1030,1030,1949,2013,Seattle,WA 98117,13.32530422140102,65,1
218000.0,3.0,1.75,1850,7684,1.0,0,0,3,1320,530,1979,2014,Federal Way,WA 98023,12.292250341771226,35,0
404000.0,4.0,1.75,1840,10720,1.0,0,0,3,960,880,1958,2004,Bellevue,WA 98008,12.909170156943286,56,10
136500.0,3.0,1.5,1420,8580,1.0,0,0,3,1420,0,1962,2003,Federal Way,WA 98023,11.824079893607152,52,11
313950.0,3.0,1.0,1510,6083,1.0,0,0,4,860,650,1940,2001,Seattle,WA 98115,12.656989016542255,74,13
575000.0,3.0,1.75,2130,6500,1.0,0,2,3,1170,960,1954,2005,Seattle,WA 98199,13.262125319779487,60,9
1225000.0,4.0,2.25,3490,6906,2.0,0,0,4,2280,1210,1928,0,Seattle,WA 98199,14.018451401960965,86,86
280000.0,3.0,1.75,1630,11800,1.0,0,0,4,1630,0,1971,0,North Bend,WA 98045,12.542544882151386,43,43
515000.0,3.0,2.5,1790,7167,2.0,0,0,3,1790,0,1989,0,Sammamish,WA 98074,13.151922179645874,25,25
513000.0,4.0,2.5,2000,5684,2.0,0,0,3,2000,0,1996,0,Kenmore,WA 98028,13.148031124152906,18,18
685000.0,4.0,2.5,3030,7864,2.0,0,0,3,3030,0,1999,0,Sammamish,WA 98074,13.437174117244362,15,15
365000.0,3.0,1.5,1310,8160,1.0,0,0,3,1310,0,1950,2005,Seattle,WA 98133,12.80765263256463,64,9
762300.0,4.0,2.5,3880,14550,2.0,0,0,3,3880,0,1987,2000,Sammamish,WA 98074,13.544095457976365,27,14
1580000.0,4.0,3.25,3760,10920,1.5,0,0,5,2400,1360,1950,0,Seattle,WA 98105,14.27293540500315,64,64
562000.0,5.0,2.25,3040,8111,2.0,0,0,3,3040,0,1984,0,Redmond,WA 98052,13.239257128875828,30,30
530000.0,5.0,2.5,2910,9636,1.0,0,0,4,1690,1220,1964,0,Bellevue,WA 98008,13.180632285528304,50,50
525000.0,3.0,2.5,2970,11985,1.0,0,0,3,1770,1200,1995,0,Sammamish,WA 98074,13.17115354157376,19,19
484000.0,2.0,1.75,1660,6000,1.0,0,0,3,1160,500,1942,1999,Seattle,WA 98105,13.089840185698769,72,15
725126.0,4.0,2.5,3200,12369,2.0,0,0,3,3200,0,1998,2006,Newcastle,WA 98059,13.494100711839987,16,8
360000.0,4.0,2.0,2680,18768,1.0,0,0,5,2680,0,1965,0,Auburn,WA 98001,12.793859310432293,49,49
387000.0,3.0,1.0,1230,9568,1.0,0,0,5,1230,0,1962,0,Newcastle,WA 98056,12.866179972011919,52,52
655500.0,4.0,3.5,3380,8330,2.0,0,0,3,3380,0,2000,0,Shoreline,WA 98177,13.393153582185892,14,14
345000.0,3.0,1.0,1110,6250,1.0,0,0,3,1110,0,1956,2001,Seattle,WA 98115,12.751299696013497,58,13
533000.0,5.0,2.75,1800,3780,1.5,0,0,3,1400,400,1926,2003,Seattle,WA 98103,13.186276703147982,88,11
385000.0,3.0,1.75,1900,5520,1.0,0,0,3,1280,620,1982,0,Seattle,WA 98118,12.86099861326992,32,32
197000.0,3.0,1.75,1690,7735,1.0,0,0,4,1060,630,1976,1992,Auburn,WA 98001,12.190959007720126,38,22
485000.0,3.0,2.0,1420,4080,1.5,0,0,3,1420,0,1905,2013,Seattle,WA 98103,13.091904169919621,109,1
295000.0,3.0,2.25,1980,8000,1.0,0,0,4,1560,420,1974,0,Federal Way,WA 98023,12.594730635321957,40,40
499000.0,2.0,1.75,1170,2400,1.0,0,0,4,740,430,1903,0,Seattle,WA 98103,13.120361374733656,111,111
1050000.0,3.0,2.5,2200,1970,2.0,0,0,3,1610,590,2008,0,Seattle,WA 98102,13.864300722133706,6,6
191000.0,3.0,1.5,800,8850,1.0,0,0,4,800,0,1959,0,Federal Way,WA 98023,12.160028707028767,55,55
500000.0,3.0,2.5,1480,1171,3.0,0,0,3,1480,0,2006,0,Seattle,WA 98112,13.122363377404328,8,8
390000.0,5.0,3.75,2890,5000,1.0,0,0,3,1310,1580,2006,0,Seattle,WA 98144,12.873902018105829,8,8
979000.0,3.0,2.5,2690,4047,3.0,0,0,3,2690,0,2014,0,Seattle,WA 98117,13.794286921512647,0,0
580000.0,4.0,3.25,3569,8327,2.0,0,0,3,3569,0,2013,1923,Renton,WA 98055,13.270783382522602,1,91
369950.0,3.0,2.0,1270,1320,3.0,0,0,3,1270,0,2006,0,Seattle,WA 98103,12.821123140353697,8,8
776000.0,4.0,2.5,3040,6425,2.0,0,0,3,3040,0,2008,0,Redmond,WA 98052,13.561907799165356,6,6
519950.0,3.0,2.25,1170,1249,3.0,0,0,3,1170,0,2014,0,Seattle,WA 98107,13.161487932088379,0,0
255000.0,5.0,2.25,2060,8632,1.0,0,0,3,1030,1030,1962,2003,Burien,WA 98146,12.449018824140563,52,11
495000.0,3.0,1.0,990,6000,1.0,0,0,3,990,0,1943,2002,Seattle,WA 98105,13.112313041550827,71,12
510000.0,4.0,2.5,2430,5203,2.0,0,0,3,2430,0,2003,0,Shoreline,WA 98155,13.142166004700508,11,11
253000.0,3.0,1.75,1250,10122,1.0,0,0,3,1250,0,1994,0,Black Diamond,WA 98010,12.441144767709657,20,20
503000.0,3.0,2.75,1540,6760,1.0,0,0,5,1210,330,1980,0,Kirkland,WA 98034,13.128345449081877,34,34
275000.0,3.0,2.5,1600,7000,2.0,0,0,4,1600,0,1993,0,Maple Valley,WA 98038,12.524526376648708,21,21
249000.0,3.0,1.0,1110,8423,1.0,0,0,3,1110,0,1952,2008,Burien,WA 98166,12.425208175446844,62,6
310000.0,3.0,1.75,1840,10723,1.0,0,0,4,1220,620,1974,0,Renton,WA 98058,12.644327576461329,40,40
750000.0,3.0,2.75,2520,5401,1.0,0,0,4,1360,1160,1946,1989,Seattle,WA 98119,13.527828485512494,68,25
599999.0,9.0,4.5,3830,6988,2.5,0,0,3,2450,1380,1938,2003,Seattle,WA 98103,13.304683267530228,76,11
758000.0,4.0,2.75,2410,9549,1.0,0,0,4,1780,630,1956,0,Kirkland,WA 98033,13.53843866462451,58,58
248500.0,4.0,1.75,1720,10018,1.0,0,0,5,1720,0,1960,0,Covington,WA 98042,12.423198124518821,54,54
460000.0,3.0,2.0,1760,9055,2.0,0,0,4,1760,0,1985,0,Redmond,WA 98052,13.038981768465277,29,29
675000.0,3.0,1.75,1680,10500,1.0,0,0,4,1680,0,1959,0,Bellevue,WA 98005,13.422467969854667,55,55
526000.0,2.0,2.0,1550,2400,1.5,0,0,4,1550,0,1900,1971,Seattle,WA 98103,13.173056491719846,114,43
415000.0,4.0,3.0,1830,9548,2.0,0,0,3,1830,0,1991,0,Bothell,WA 98028,12.936033799212835,23,23
246000.0,3.0,1.0,1400,7410,1.0,0,0,3,1400,0,1944,0,Burien,WA 98166,12.4130868149145,70,70
314500.0,3.0,1.75,1870,12381,1.0,0,0,4,1870,0,1957,2001,Federal Way,WA 98003,12.658739355122632,57,13
420000.0,2.0,1.5,1040,3500,1.5,0,0,4,1040,0,1904,0,Seattle,WA 98144,12.948009990259552,110,110
350000.0,3.0,1.0,1010,9360,1.0,0,0,3,1010,0,1981,2013,Kirkland,WA 98033,12.765688433465597,33,1
515000.0,3.0,1.75,1580,9147,1.0,0,1,4,1210,370,1967,0,Bellevue,WA 98008,13.151922179645874,47,47
749950.0,4.0,2.75,2600,6050,2.0,0,0,5,1960,640,1949,0,Seattle,WA 98116,13.527761816623505,65,65
230000.0,3.0,2.5,1920,9180,2.0,0,0,3,1920,0,1988,2000,Renton,WA 98057,12.345834587905333,26,14
